sale_id,sale_date,customer_id,product_id,quantity,monthly_price,revenue
1,09/03/2023,516,2,3,200,600
2,18/03/2023,1611,1,1,80,80
3,27/07/2023,1938,4,3,300,900
4,09/08/2023,1834,2,3,200,600
5,19/09/2023,1265,1,2,80,160
6,14/02/2024,30,3,1,120,120
7,27/11/2023,1167,3,1,120,120
8,10/12/2023,326,2,3,200,600
9,15/03/2023,1719,2,3,200,600
10,28/09/2024,949,3,2,120,240
11,30/11/2024,16,1,1,80,80
12,11/09/2023,111,4,1,300,300
13,28/11/2023,872,5,3,500,1500
14,02/02/2024,713,2,1,200,200
15,11/12/2023,107,3,3,120,360
16,06/08/2024,379,1,2,80,160
17,29/10/2024,162,2,3,200,600
18,30/03/2024,283,1,2,80,160
19,25/04/2023,269,2,3,200,600
20,09/11/2023,484,3,2,120,240
21,16/08/2023,667,1,2,80,160
22,02/09/2023,1097,3,1,120,120
23,09/06/2024,1221,1,3,80,240
24,11/06/2024,1267,2,1,200,200
25,02/03/2024,598,5,1,500,500
26,11/02/2023,799,5,3,500,1500
27,09/04/2024,1283,4,1,300,300
28,13/09/2024,798,4,1,300,300
29,05/10/2023,1173,3,1,120,120
30,19/01/2023,1891,1,3,80,240
31,07/03/2023,390,4,1,300,300
32,16/06/2023,416,2,1,200,200
33,07/08/2024,426,5,1,500,500
34,07/02/2024,997,1,3,80,240
35,13/02/2024,1726,5,2,500,1000
36,22/04/2023,1241,1,2,80,160
37,01/10/2023,1952,4,2,300,600
38,11/02/2024,867,4,2,300,600
39,08/01/2024,86,3,1,120,120
40,19/08/2024,1240,1,3,80,240
41,12/10/2024,423,2,1,200,200
42,08/02/2023,1344,4,3,300,900
43,15/04/2023,118,3,1,120,120
44,20/11/2023,1950,4,2,300,600
45,18/02/2024,959,5,2,500,1000
46,04/03/2024,882,4,3,300,900
47,26/09/2024,992,1,1,80,80
48,30/12/2024,415,3,2,120,240
49,02/03/2023,599,1,3,80,240
50,03/09/2024,40,2,1,200,200
51,03/11/2023,1185,2,3,200,600
52,20/12/2023,703,4,1,300,300
53,28/01/2024,537,3,1,120,120
54,23/07/2023,420,3,1,120,120
55,15/09/2023,664,3,3,120,360
56,30/04/2024,95,3,3,120,360
57,31/05/2024,1466,4,1,300,300
58,21/03/2024,1959,1,2,80,160
59,09/12/2024,1582,4,1,300,300
60,29/06/2023,973,1,3,80,240
61,08/12/2023,650,5,1,500,500
62,13/05/2023,1490,5,3,500,1500
63,18/03/2024,288,1,1,80,80
64,10/09/2023,1889,4,1,300,300
65,22/09/2023,1700,2,2,200,400
66,03/04/2023,412,4,2,300,600
67,23/10/2024,400,2,3,200,600
68,15/02/2024,528,4,1,300,300
69,18/05/2023,1042,3,3,120,360
70,27/07/2023,136,3,1,120,120
71,28/09/2024,1488,5,1,500,500
72,26/07/2024,759,5,1,500,500
73,03/11/2023,1272,1,2,80,160
74,23/09/2023,843,2,3,200,600
75,07/10/2024,710,3,1,120,120
76,14/11/2023,1025,4,1,300,300
77,23/04/2023,1726,1,3,80,240
78,13/01/2024,381,4,3,300,900
79,29/03/2024,509,3,1,120,120
80,10/07/2023,1484,3,2,120,240
81,15/03/2024,1529,3,2,120,240
82,06/07/2023,806,3,1,120,120
83,02/01/2024,476,4,2,300,600
